0 0 0
0.0784314 0.215686 0
0.352941 0.176471 0
0.384615 0.269231 0
0.480769 0.596154 0
0.788462 0.711538 0.0192308
0.867925 0.528302 0.0188679
1.14815 1.11111 0.0185185
1.28302 1.18868 0.132075
1.4717 1.16981 0.0943396
2.01887 2.30189 0.207547
1.63462 2.05769 0.711538
2.32075 2.24528 2.15094
2.58491 2.77358 2.33962
2.79032 3.01613 13.0484
3.12625 3.50161 14.1251
3.51852 3.83333 17.9259
3.87037 4.12963 39.6852
4.08929 4.30357 114.286
4.26667 4.23333 238.75
4.2381 4.5873 361.27
4.28788 4.54545 448.879
3.5942 3.94203 360.551
2.92537 2.91045 283.896
1.87654 1.91358 174.346
1.74468 1.92553 159.33
